APT_CODE,APT_NAME,GOOGLE_NAME,RATING,NB_REVIEW
YXE,J.G. DIEFENBAKER INTL AIRPORT,Saskatoon International Airport,4.1,1254
SZG,W. A. MOZART AIRPORT,Salzburg Airport,4.1,2705
TRF,SANDEFJORD AIRPORT,TORP Sandefjord Airport,4.2,3930
NRN,WEEZE AIRPORT,Weeze Airport,3.6,4294
KJA,YEMELYANOVO AIRPORT,Krasnoyarsk International Airport,4.5,5930
NYO,SKAVSTA AIRPORT,Stockholm Skavsta Airport,3.7,2819
CHQ,IOANNIS DASKALOGIANNIS AIRPORT,Chania International Airport Ioannis Daskalogiannis,4.0,8347
IKT,IRKUTSK AIRPORT,International Airport Irkutsk,3.6,3334
JNU,JUNEAU INTERNATIONAL AIRPORT,Juneau International Airport,4.3,627
ECP,NW FLORIDA BEACHES INTERNATIONAL AIRPORT,Northwest Florida Beaches International Airport,4.3,1866
RTM,ROTTERDAM AIRPORT,Rotterdam The Hague Airport,4.2,3532
KZN,KAZAN INTERNATIONAL AIRPORT,Kazan Airport,4.2,7719
AHO,FERTILIA AIRPORT,Alghero Airport,4.0,4290
MPL,MEDITERRANEE AIRPORT,Montpellier-Méditerranée Airport,4.1,2647
TJM,ROSHCHINO AIRPORT,Roshchino International Airport,4.3,3002
FAT,FRESNO YOSEMITE INTERNATIONAL,Fresno Yosemite International Airport,4.3,3192
AAL,AALBORG AIRPORT,Aalborg Airport,4.5,1886
FAI,FAIRBANKS INTERNATIONAL AIRPORT,Fairbanks International Airport,4.5,1308
HPN,WESTCHESTER COUNTY AIRPORT,Westchester County Airport,4.0,2240
LJU,JOZE PUCNIK AIRPORT,Ljubljana Airport,4.1,3513
SNN,SHANNON INTERNATIONAL AIRPORT,Shannon Airport,4.6,3233
LIL,LESQUIN AIRPORT,Lille Airport,3.8,3063
GRO,COSTA BRAVA AIRPORT,Girona–Costa Brava Airport,4.3,3782
KGD,KHRABROVO AIRPORT,Airport Khrabrovo,4.5,8436
YQR,REGINA INTERNATIONAL AIRPORT,Regina International Airport,4.1,1261
CFU,IOANNIS KAPODISTRIAS AIRPORT,"Corfu International Airport ""Ioannis Kapodistrias""",3.5,10456
TPS,BIRGI AIRPORT,Trapani–Birgi Airport,3.8,3790
GOA,CRISTOFORO COLOMBO AIRPORT,Goa Dabolim International Airport,4.1,41947
AJA,NAPOLEON BONAPARTE AIRPORT,Ajaccio Napoleon Bonaparte Airport,3.8,2329
DBV,DUBROVNIK AIRPORT,Dubrovnik Airport,3.9,5189
XNA,NORTHWEST ARKANSAS REGIONAL AIRPORT,Northwest Arkansas National Airport,4.3,2015
BTV,BURLINGTON INTERNATIONAL AIRPORT,Burlington International Airport,4.0,1345
PIE,ST. PETE-CLEARWATER INTERNATIONAL AIRPORT,St. Pete–Clearwater International Airport,4.4,4959
SXB,ENTZHEIM AIRPORT,Strasbourg Airport,3.5,2272
CLJ,NAPOCA AIRPORT,"Cluj ""Avram Iancu"" International Airport",3.7,9280
PDL,NORDELA AIRPORT,Aeroporto João Paulo II,4.1,4501
MDT,HARRISBURG INTERNATIONAL AIRPORT,Harrisburg International Airport,4.4,2213
LEX,BLUE GRASS AIRPORT,Blue Grass Airport,4.6,1822
SKP,SKOPJE AIRPORT,Skopje International Airport,4.0,4737
AES,VIGRA AIRPORT,"Ålesund Airport, Vigra",4.2,1057
UME,UMEA AIRPORT,Umeå Airport,4.0,735
KRS,KJEVIK AIRPORT,Kristiansand Airport,3.9,563
FNT,BISHOP INTERNATIONAL AIRPORT,Bishop International Airport,4.6,1476
YMM,FORT MCMURRAY AIRPORT,Fort McMurray International Airport,4.1,334
SRQ,BRADENTON INTERNATIONAL AIRPORT,Sarasota Bradenton International Airport,4.5,3872
ITO,HILO INTERNATIONAL AIRPORT,Hilo International Airport,4.4,1099
LLA,KALLAX AIRPORT,London Luton Airport,3.4,21966
BIA,PORETTA AIRPORT,Colombo Bandaranaike International Airport,4.0,17806
AMA,RICK HUSBAND INTERNATIONAL AIRPORT,Rick Husband Amarillo International Airport,4.3,877
CID,THE EASTERN IOWA AIRPORT,Eastern Iowa Airport,4.2,934
CEK,BALANDINO AIRPORT,Chelyabinsk Airport,4.0,3671
GCI,GUERNSEY AIRPORT,Guernsey Airport,4.0,472
COS,MUNICIPAL AIRPORT,Colorado Springs Airport,4.6,3651
HSV,HUNTSVILLE INTL - CARL T. JONES FIELD AIRPORT,Huntsville International Airport,4.4,2091
CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,Corpus Christi International Airport,4.4,1155
YKS,YAKUTSK AIRPORT,Mezhdunarodnyy Airport Yakutsk,4.2,2072
BTS,IVANKA AIRPORT,M. R. Štefánik Airport Bratislava,4.0,5098
POZ,LAWICA AIRPORT,Poznań Airport,3.7,9083
GRZ,GRAZ AIRPORT,Graz Airport,4.4,1662
BZN,YELLOWSTONE INTERNATIONAL AIRPORT,Bozeman Yellowstone International Airport,4.6,2469
CAE,COLUMBIA METROPOLITAN AIRPORT,Columbia Metropolitan Airport,4.4,2086
AZA,MESA GATEWAY AIRPORT,Mesa Gateway Airport,4.4,3103
HRL,VALLEY INTERNATIONAL AIRPORT,Valley International Airport,4.5,1447
JAN,MEDGAR W. EVERS INTERNATIONAL AIRPORT,Jackson-Medgar Wiley Evers International Airport,3.8,1373
YZF,YELLOWKNIFE AIRPORT,Yellowknife Airport,4.0,482
LCG,A CORUNA AIRPORT,A Coruña Airport,4.2,2801
FSD,JOE FOSS FIELD AIRPORT,Sioux Falls Regional Airport,4.3,1799
SPC,LA PALMA AIRPORT,La Palma Airport,4.3,2572
BET,BETHEL AIRPORT,Bethel Airport,3.7,74
BIQ,BIARRITZ PARME AIRPORT,Biarritz Airport,3.6,1297
KTN,KETCHIKAN INTERNATIONAL AIRPORT,Ketchikan International Airport (KTN),4.5,273
BIL,LOGAN INTERNATIONAL AIRPORT,Billings-Logan International Airport,4.3,1125
BES,BRETAGNE AIRPORT,Brest Bretagne Airport,4.0,1711
IOM,RONALDSWAY AIRPORT,Ronaldsway Airport,4.0,608
